|descricao|ncm
66312|esmalte metalico golden night beauty color un|33043000
65164|esmalte ivete sangalo cr super bonita <vlm>  lt is <num>|33043000
67439|esmalte risque tratamento  <vlm>  base <num> em <num> niasi un|33043000
58412|esm crem prazeres <num>x<num>|33043000
7217|<num> st esmalte safira|33043000
58702|esm gio antonelli ansiedade cremoso hits speciallita <num>x<num> un|33043000
61669|esmalte  <vlm>  <num> felicidade top beauty un|33043000
65432|esmalte lapogee maria do ceu <num>free|33043000
60804|esm vult crem cinema  <vlm>|33043000
58946|esm impala cromo sua noite <num>  <vlm>  <num>x<num>|33043000
59811|esm preta gil glitter diamonds  <vlm>|33043000
132895|tatuagem de unha borboleta flor|33043000
57807|esm colo p salao cr jura|33043000
63430|esmalte cremoso <num>  <vlm>  <num> prazeres impala un|33043000
61155|esm beauty crem labadi bco <num>x<num> cx<num>un|33043000
63119|esmalte colorama nutri verniz  <vlm>  melancia loreal un|33043000
67555|esmalte style  <vlm>   <vlm> inda dote un|33043000
63013|esmalte colorama efeito camurca bolsa nova <num>x<num> rh<num>|33043000
61524|esmalte <num>  <vlm>  glitter   <num> rosa|33043000
142373|ysl la laque couture <num>|33043000
59254|esm kolt sb crem art color  <vlm>  <num>x<num>|33043000
103906|plv ec sable collar|33043000
67206|esmalte risque cremoso  <vlm>  terra niasi un|33043000
27253|color esm pim bl est|33043000
63054|esmalte colorama maybiline fortalecedor|33043000
60436|esm s perola cint atracao  <vlm>  <num>x<num>|33043000
65945|esmalte ludurana cremoso satina blister  <vlm>|33043000
76781|ideal base extra brilho  <vlm>  <num>|33043000
93493|mini color gold bronze  <vlm>    <num>|33043000
62687|esmalte color piment estalinho  <vlm>|33043000
90545|maru oleo de cravo  <vlm>|33043000
2559|<num> esmalte mohda cremoso bermuda|33043000
112253|risque grand min <num>x<num>|33043000
69620|f c esmalte azul indigo <vlm>|33043000
58733|esm gl bolinha paete preto <num>x<num>|33043000
57413|esm cl risque mini saia cint c <num>|33043000
67069|esmalte risque amareloreal ultcr <vlm>|33043000
10369|amolecedor de cuticulas mirras  <peso>  cx <num>|33043000
59452|esm passe nati bl crem sabrina  <vlm>  <num>x<num>|33043000
95629|neez spray esm angelical azul claro per  <vlm>|33043000
42659|derma esmalte effect crem  <vlm>|33043000
63883|esmalte dote <num> cuca fresca|33043000
59729|esm preta gil cremoso flor bela  <vlm>|33043000
60253|esm risque creme love  <vlm>  cx <num>|33043000
43045|dermopes   creme para tratamento cosmetico dos pes  <peso>|33043000
64443|esmalte full color glitter luzes blister  <vlm>|33043000
12290|ar cores   esmalte rosa meliss|33043000
66731|esmalte pn samba fantasia|33043000
61933|esmalte ah cremoso luxo  <vlm>|33043000
57509|esm col cint  <vlm>  coral chic bl reno|33043000
65446|esmalte lapogee maria menina classicos|33043000
57938|esm colorama  <vlm>  crem black e|33043000
57457|esm col bl crem boneca|33043000
12324|ar esmalte   jabuticaba|33043000
60504|esm t  beauty cint  <num> pres surpresa <num>m|33043000
141694|vult esm cheguei c <num>|33043000
56766|esm ana hickmann crem sexy  <vlm>|33043000
64021|esmalte dote sl <num>    <vlm> p  seguro un|33043000
66448|esmalte penelope luz lotus|33043000
66811|esmalte preta gil cr laranja carnaval <vlm>  lt  pg <num>|33043000
56992|esm bc gl dekole cl copa|33043000
58933|esm impala cremoso nude classico|33043000
67219|esmalte risque cremoso classic|33043000
111867|risque esm cr carmim|33043000
66517|esmalte perolado <num>  <vlm>  carolina impala un|33043000
63915|esmalte dote <num> peroba|33043000
111103|revlon esm cr revlon r|33043000
63820|esmalte dlu glitter  <vlm>  brita ludurana un|33043000
61046|esm  revlon creme <num> pure pearl <num>  <vlm>|33043000
20033|blister ahf crem backstage  <vlm>|33043000
113136|rv esmalte colorstay buttercop|33043000
65668|esmalte ludu gl sonho  <vlm>|33043000
62500|esmalte cintilante  <vlm>  <num> sauipe dote un|33043000
60960|esm  blant final  top matte <num>  <vlm>|33043000
65850|esmalte ludurana cremoso alta definicao radiante solto  <vlm>|33043000
59944|esm risq ul cr husk|33043000
142361|ysl la laque couture <num>|33043000
62125|esmalte ana hickmann  <vlm>  crem tangerine|33043000
67286|esmalte risque hipoalergenico <num>  <vlm>  seda base niasi un|33043000
67862|esmalte ultimate gliter  <vlm>  plumas e paetes top beauty un|33043000
60338|esm risque nu fe cr anota a simpatia  <vlm>  cx <num>|33043000
67367|esmalte risque nat gloss tititi  <vlm>|33043000
113266|rv esmaltecreme cherries in the snow|33043000
61414|esmalte <num> rosado alta moda cx|33043000
64151|esmalte eliana<num> sl cremoso   acai|33043000
57603|esm col crem gio bl tagarelando|33043000
70417|first esmalte ever em gel smoky  <vlm>  gp<num>br|33043000
64298|esmalte foup cremoso ga<num>|33043000
58596|esm dote sb style <num> criativa <num>x<num>  <vlm>|33043000
2936|<num> esmalte mohda bl cor brilho roma|33043000
63571|esmalte cremoso  <vlm>  preview ana hickmann un|33043000
67889|esmalte verde <num>|33043000
112248|risque exfoliante pes oleo orq  <peso>|33043000
60910|esm  blant col tem aconc  desejo <num>  <vlm>|33043000
64798|esmalte hipoalergenico <num>  <vlm>  <num> boneca de luxo impala un|33043000
64339|esmalte foup perolado scarlet|33043000
20067|blister esmalte ah escandalo  <vlm>|33043000
58734|esm glit atitude pop <num>x<num>|33043000
67434|esmalte risque techn  <vlm>  reparador noturno niasi un|33043000
63216|esmalte colorama verniz carbono|33043000
63894|esmalte dote <num> jeri|33043000
58483|esm dote bl <num> osorio <num>x<num>  <vlm>|33043000
62867|esmalte colorama copa cores aguenta coracao <num>x<num> h<num>|33043000
5759|<num> st esmalte bahamas|33043000
60419|esm s perola bl pp amante  <vlm>  <num>x<num>|33043000
68107|esmalte zip colors   rosa diva|33043000
63884|esmalte dote  <vlm> ook congelante|33043000
10126|am nude classic <num>  <vlm>  cart c <num>un|33043000
60685|esm t beauty ult  gliter calcada fam  <vlm>|33043000
88009|lpop nails <num> enamel <num> test|33043000
110078|remov esm franbella  <vlm>|33043000
69627|f c esmalte framboesa  <vlm>|33043000
67939|esmalte verona luxo edition <num>  <vlm>  bl eu me amo|33043000
66829|esmalte preta gil crem rosa axe  <vlm>|33043000
63868|esmalte don t mess with opi  <vlm>|33043000
61617|esmalte  <vlm>  <num> ameixa top beauty un|33043000
27260|color esm pur glam <num>x<num>|33043000
66451|esmalte penelope luz lucky fairy|33043000
67158|esmalte risque cremoso  <vlm>  classic niasi un|33043000
59152|esm kolt bl blog per colecao  <vlm>|33043000
65494|esmalte lapogee prata|33043000
68125|esmaltebruna marquezine cremoso citrus blister  <vlm>|33043000
59328|esm maru sb base fort vit b<num>  <vlm>  <num>x<num>|33043000
65145|esmalte ivete sangalo cr astral  <vlm>  lt is <num>|33043000
59572|esm per look do dia bl <num>x<num>|33043000
59770|esm preta gil cremoso relax  <vlm>  lt pg <num>|33043000
111800|risque esm az hort bl|33043000
57175|esm bl risque arabia ult crem reg c <num>|33043000
67580|esmalte t  beauty cint <num> cometa  <vlm>|33043000
140898|vernis <num> plaza|33043000
97720|nutry c cavalofortalecedor  <vlm>|33043000
61387|esmalte <num>d  <vlm>  neverland top beauty cx|33043000
58782|esm hipoalerg bl branco <num>x<num>|33043000
67468|esmalte risque ultra cremoso armadilha rosa|33043000
108|prot do m s|33043000
64322|esmalte foup electric spirit|33043000
58449|esm cyllio pm sb amsterda  <vlm>  <num>x<num>|33043000
68151|esmaltebruna marquezine cremoso red blister  <vlm>|33043000
67227|esmalte risque cremoso meia ca|33043000
5937|<num> st adesivo franc onca l|33043000
58122|esm colorama bronze|33043000
59640|esm preta gil <num> free batucada  <vlm>  lt pg <num>|33043000
56743|esm alfaparf bl <num> ver espelh <num>x<num>  <vlm>|33043000
57254|esm blant col  duo perf  sweet <num>  <vlm>|33043000
62034|esmalte am caramelo <num> alfaparf <num>x <vlm>|33043000
59649|esm preta gil <num> free i love ny  <vlm>  lt pg <num>|33043000
66681|esmalte pink margot  <vlm>  c<num>|33043000
15099|base seda ah  <vlm>|33043000
63950|esmalte dote bl <num> alegria|33043000
59860|esm preta gil tratamento intensificador  <vlm>|33043000
63070|esmalte colorama mist turquia oliva <num>x<num> rh<num>|33043000
63811|esmalte dlu cremoso sombra solto  <vlm>|33043000
128751|so laque   violet couture|33043000
138227|tira manch agima tint cap na pele  <vlm>|33043000
64234|esmalte esquenta  <vlm>  <num> chocolate quente top beauty un|33043000
62144|esmalte another police joke  <vlm>|33043000
59110|esm juliana paes cr confiante  <vlm>  lt jp <num>|33043000
8640|ad esmalte ceramic nail lac pink cabaret|33043000
57754|esm colo cr rs flor|33043000
67649|esmalte t  beauty sensitive <num>base q  <vlm>|33043000
67536|esmalte spray neez azul claro perola  <peso>|33043000
57200|esm bl risque col simpatia crem c <num>|33043000
63339|esmalte cozete gomes luxury  <vlm>  lt cz <num>|33043000
57242|esm bl risque zbg azulcrination|33043000
105738|pro   esmalte nano n  <num> dourado|33043000
58046|esm colorama  <vlm>  nat via lactea|33043000
56662|esm a h sb crem echarpe <num>x<num>  <vlm>|33043000
66536|esmalte perolado  <vlm>  arrepio ana hickmann cx|33043000
71523|fortificante c argan  <vlm>|33043000
57211|esm bl risque grao cafe ult crem reg c <num>|33043000
66356|esmalte noivas nupcias  <vlm>|33043000
98849|oleo secante|33043000
2178|<num> esmalte mohda cremoso tomate|33043000
111733|risque base homem fosca cl  <vlm>|33043000
68203|esmate nail enamelcherries in the snow|33043000
57255|esm blant col  onda ser feliz   beach <num>|33043000
61196|esm color cint pocao magica <num>x<num> <num> cx<num>un|33043000
61684|esmalte  <vlm>  <num> perola top beauty un|33043000
63243|esmalte colorama verniz e cor  <vlm>  coral loreal un|33043000
66191|esmalte maybelline color show  <vlm>  <num> pink boom loreal cx|33043000
56945|esm bc ct exttravasa cl|33043000
142254|yenzah   ync   esmalte<num> premiere|33043000
111814|risque esm cai penal|33043000
62049|esmalte am oro nobre <num> alfaparf <num>x<num> un|33043000
67689|esmalte the fusion cr cara de ryca <num>  <vlm>  lt fs <num>|33043000
67406|esmalte risque pocao do amor  <vlm>|33043000
65987|esmalte ludurana glitter prata solto  <vlm>|33043000
60164|esm risque  <vlm>  sm ultr brilho bl|33043000
142369|ysl la laque couture <num> test|33043000
131504|spray secante de esmalte  <vlm>  oleo deargan elke un|33043000
59675|esm preta gil cr csinais de fogo  <vlm>|33043000
57362|esm cl risque cappuccin ult crem reg c <num>|33043000
64342|esmalte foup top max glitter|33043000
15055|base p unhas casco de cavalo  <vlm>  extra brilho maru un|33043000
61745|esmalte <num>  <vlm>  cremoso fogosa blant un|33043000
62423|esmalte candy color tasty  <vlm>|33043000
67136|esmalte risque collor effect  <vlm>  violet acinzent niasi un|33043000
27224|color esm gio elet <num>x<num>|33043000
66032|esmalte ludurana perolado alta definicao diamante puro solto  <vlm>|33043000
95699|neostrata neoceuticals solucao para unhas  <vlm>|33043000
52833|es color <num> its delicate|33043000
62864|esmalte colorama colecao pimentinha  <peso>  flert|33043000
17390|batom super lustrus matte stormy pink|33043000
5772|<num> st esmalte luv|33043000
23561|cera nutritiva pink  <peso>  rosa|33043000
59806|esm preta gil free azul real  <vlm>|33043000
108882|pv vernis haute couleur <num>|33043000
71541|fortilon multivitaminas <num> x <num>  <vlm>|33043000
57397|esm cl risque escarlate crem c <num>|33043000
62244|esmalte big apple red  <vlm>|33043000
60515|esm t beauty <num>d download  <vlm>|33043000
42921|dermage nail color sunny day    <vlm>   l <num>|33043000
57350|esm casco de cavalo fort com calcio cx <num>|33043000
57479|esm col bl cuid base setim|33043000
59988|esm risque  <vlm>  condessa nat bl|33043000
93502|mini color lame gold   <num>|33043000
108869|pv vernis gris trianon <num>|33043000
27254|color esm pim bl pic|33043000
61107|esm  revlon creme scented <num> beach <num>  <vlm>|33043000
27228|color esm gio preg <num>x<num>|33043000
62060|esmalte am verde jeans <num> alfaparf <num>x<num> un|33043000
59824|esm preta gil metal take it easy  <vlm>|33043000
67265|esmalte risque gastonomia  <vlm>  ma  de alfazema niasi cx|33043000
108688|pv nail glow french effect|33043000
108956|qdb esmalte brancaluz <num>  <vlm>|33043000
27164|color esm b ter cr  <vlm>|33043000
8906|adesivo unha flor|33043000
59399|esm p n bl mythos hera <num>m <num>x<num>|33043000
4071|<num> st esmalte sortido|33043000
66863|esmalte preta gil dengos  <vlm>|33043000
65699|esmalte ludurana <num>d alta definicao bruna solto  <vlm>|33043000
67165|esmalte risque cremoso  <vlm>  escarlate niasi un|33043000
119237|sc esmalte glass pink|33043000
61027|esm  o p i   <num> do you lilac it   <vlm>|33043000
57420|esm cl risque paris crem c <num>|33043000
63036|esmalte colorama forma em cor  <vlm>  cone laranja loreal un|33043000
68161|esmaltebruna marquezine glitter lux blister  <vlm>|33043000
62246|esmalte bl bruna marq cr acqua|33043000
58915|esm impala crem royal <num>  <vlm>  <num>x<num>|33043000
42913|dermage nail color moonlight  <vlm>   l <num>|33043000
67222|esmalte risque cremoso gabriela|33043000
64587|esmalte futurama cremoso  <vlm>  gingado ludurana un|33043000
59952|esm risque  <vlm>  angelica nat bl|33043000
60162|esm risque  <vlm>  sm ult cr husky e|33043000
62655|esmalte color fam bff cint  <vlm>|33043000
93418|mini color  <vlm>  arty pink n<num>   <num>|33043000
5800|<num> st base fortalecedora|33043000
60925|esm  blant crem  rojo <num>  <vlm>|33043000
66889|esmalte preta gil lacrei  <vlm>|33043000
60573|esm t beauty crem  <num> fuego  <vlm>|33043000
66277|esmalte metalico <num>  <vlm>  <num> patchwork impala un|33043000
59912|esm risq cr paris|33043000
60752|esm trat fortalecedor <num> <num>  <vlm>  cr|33043000
63480|esmalte cremoso <num>  <vlm>  matine impala un|33043000
12272|ar cores   esmalte licor|33043000
59916|esm risq cr tamara|33043000
64727|esmalte glitter  <vlm>  brilho do mar anita un|33043000
111923|risque esm crem shar pei reg bl  <vlm>|33043000
66470|esmalte penelope luz satya|33043000
67541|esmalte spray neez dourado perolado  <peso>|33043000
63743|esmalte cromado terra starvie  <vlm>|33043000
111880|risque esm cr gabr|33043000
65903|esmalte ludurana cremoso cr <num> solto  <vlm>|33043000
63962|esmalte dote bl hipo <num> paquerinha  <vlm>|33043000
61416|esmalte <num>  <vlm>  c <num> diversos|33043000
58756|esm high gl grafismo <num>x<num>|33043000
108657|pv le vernis <num> beige mousselin|33043000
67185|esmalte risque cremoso  <vlm>  o meu santo antonio niasi un|33043000
64216|esmalte era uma vez|33043000
65760|esmalte ludurana base  <vlm>  extra brilho ludurana un|33043000
90255|manicure luvas descartaveis nk cosmeticos|33043000
62738|esmalte color show maybelline  <vlm>  purple hit|33043000
65196|esmalte ivete sangalo pura paixao  <vlm>|33043000
64533|esmalte futu cr camufla  <vlm>|33043000
1801|<num> second gel   t<num> rouge instyle|33043000
56748|esm alfaparf bl <num> oro puro <num>x<num>  <vlm>|33043000
59617|esm pn quero muito ser sexy|33043000
65018|esmalte impala perolado destino sonhos blister <num>x<num> r<num>|33043000
62318|esmalte boom pop anitta mina louca  <vlm>|33043000
120582|sh nailgrowth miracle esmalte tratamento|33043000
40933|decreina freshfeet|33043000
111971|risque esm crems paris bl  <vlm>|33043000
78958|kit ar tratamento  <num>   <num>|33043000
112219|risque esm ultra crems desejo bl  <vlm>|33043000
59715|esm preta gil cremoso babado forte  <vlm>  lt  pg <num>|33043000
62317|esmalte boom pop anitta met zen  <vlm>  lt an <num>|33043000
59299|esm kolt sb summer ensolarada  <vlm>  <num>x<num>|33043000
18967|betalfatrus esmalte <num>  <vlm>|33043000
49998|duo vernis bird samba <num>|33043000
110071|remov esm bc   aloe vera|33043000
111757|risque cor brilh t|33043000
56779|esm anita crem capuccino|33043000
80949|kit monster high esm crem <num>x <vlm>|33043000
23838|cg esmalte innocence china glaze <num>x <vlm>|33043000
58208|esm com risque desejo ultra crem c <num>|33043000
62557|esmalte cintilante a camisa e o botao beauty color un|33043000
64815|esmalte impala a cor da moda cremoso lolita blister|33043000
65460|esmalte lapogee mulher com|33043000
14339|base cetim  <vlm>|33043000
59961|esm risque  <vlm>  base fortalecedora bl|33043000
65711|esmalte ludurana  <vlm>  cr <vlm> udurana un|33043000
60827|esm vult crem tafeta  <vlm>|33043000
61965|esmalte ahf crem cool  <vlm>|33043000
62026|esmalte alta moda  <vlm>  vinho viola|33043000
64077|esmalte dulce de leche  <vlm>|33043000
57029|esm bc mt pocao de riqueza po|33043000
7273|<num> st esmalte orquidea negr|33043000
58265|esm cr branco <num> <num>  <vlm>  cr|33043000
111891|risque esm cr o meu sto antonio bl  <vlm>|33043000
57426|esm cl risque poodle met reg c <num>|33043000
66084|esmalte ludurana rock in rio cremoso rock blister  <vlm>|33043000
64560|esmalte futu inox elegancia  <vlm>|33043000
118049|sabonete liquido everyday vanilla  <vlm>|33043000
67938|esmalte verona luxo edition <num>  <vlm>  bl espelho meu|33043000
66249|esmalte maybelline color show  <vlm>  <num> stunning slate loreal un|33043000
2764|<num> esmalte mohda bl perol frisson|33043000
20125|blister esmalte lapogee laco|33043000
57377|esm cl risque col glo renda paete c <num>|33043000
58138|esm colorama crem petala branca|33043000
58594|esm dote sb style <num> poderosa <num>x<num>  <vlm>|33043000
58167|esm colorama natural veu|33043000
64670|esmalte geovana perolado|33043000
141712|vult esm tafeta c <num>|33043000
65873|esmalte ludurana cremoso cr <num> blister  <vlm>|33043000
66307|esmalte metalico felina beauty color cx|33043000
12286|ar cores   esmalte prata  <vlm>|33043000
60795|esm vult crem amor secreto  <vlm>|33043000
63850|esmalte dlu perolado jambo solto  <vlm>|33043000
76217|hits <num> cremoso camurca|33043000
62261|esmalte bl bruna marq cr pele|33043000
77545|item manicuros alicat|33043000
67508|esmalte sensitive  <vlm>  <num> noir top beauty cx|33043000
65582|esmalte lapogee verde fluorescente fashion|33043000
66463|esmalte penelope luz peace and love|33043000
66019|esmalte ludurana magnetic movimento blister  <vlm>|33043000
57566|esm col crem bl  <vlm>  noite de gala reno|33043000
61650|esmalte  <vlm>  <num> sensual top beauty un|33043000
61523|esmalte <num>  <vlm>  glitter   <num> prata|33043000
65375|esmalte lapogee gaia deusas|33043000
66187|esmalte maybelline color show  <vlm>  <num> sweet dream loreal un|33043000
93445|mini color  <vlm>  racing green n<num>   <num>|33043000
56759|esm amazonia guarana <num>  <vlm>  cr|33043000
60125|esm risque  <vlm>  sm marshm alf bl e|33043000
61113|esm  revlon creme scented <num> coconut crush <num>  <vlm>|33043000
61238|esm color jaboticaba vern <num>un|33043000
81146|kit p pedicure ref <num> santa clara un|33043000
113212|rv esmalte creme scented grape icy|33043000
60607|esm t beauty crem  <num> bromelia  <vlm>|33043000
63945|esmalte dote bl <num> jeri|33043000
61065|esm  revlon creme <num> smoldering <num>  <vlm>|33043000
61396|esmalte <num>d  <vlm>  shockwave top beauty un|33043000
68113|esmaltebruna marquezine cremoso acqua blister  <vlm>|33043000
59814|esm preta gil glitter maravilhinsk  <vlm>|33043000
58652|esm elke neon gossip no <num>|33043000
63927|esmalte dote <num> base prep cor|33043000
28125|coloram esm ef ti br|33043000
62444|esmalte capricho sou   eu  <vlm>  lt pg <num>|33043000
56959|esm bc ct melancia tmj|33043000
65073|esmalte impala <num>  <vlm>  arrasa|33043000
14597|base fortalecedora para unhas|33043000
56856|esm bc cr amoreco|33043000
66294|esmalte metalico agita brasil beauty color un|33043000
60098|esm risque  <vlm>  sm beijo bl cr|33043000
65600|esmalte lets play  <vlm>  bung jump top beauty un|33043000
63929|esmalte dote <num> axe  <vlm>|33043000
64701|esmalte gliter chuvisco beauty color un|33043000
8234|acetona  <vlm>  farmax|33043000
111717|risque bas <num>em<num> orq bl|33043000
61189|esm color cereja vern <num>un|33043000
60115|esm risque  <vlm>  sm fort ol bl|33043000
52837|es color <num> imported bubbly|33043000
57474|esm col bl crem rosa floral|33043000
66937|esmalte preta gil preta em chamas  <vlm>  lt pg <num>|33043000
27174|color esm bl classico|33043000
60316|esm risque nat renda brasil rendinha  <vlm>  cx <num>|33043000
142271|yenzah   ync   esmalte<num> millenium|33043000
52870|es color <num> forever young|33043000
12302|ar cores   esmaltes colecao coisas de mulher tiara|33043000
58005|esm colorama  <vlm>  form cor fosco pto graf bl e|33043000
63974|esmalte dote bl hipo<num> mimadinha  <vlm>|33043000
60083|esm risque  <vlm>  rose bombom ult cr bl|33043000
27580|color sh cora craze|33043000
58624|esm elke crem cielo no <num>|33043000
59013|esm impala p chic cre v ao pq <num>  <vlm>  <num>x<num>|33043000
57127|esm bcolor tango crem pasion|33043000
3027|<num> esmalte mohda glitter lilas|33043000
57800|esm colo nut p cre|33043000
61271|esm color verniz rs cetim <num>x<num> <num> cx<num>un|33043000
80132|kit esmalte   gloss pink ava|33043000
67047|esmalte revlon <num>  <vlm>  creme hello bali|33043000
50166|ec armed   ready <num>|33043000
68147|esmaltebruna marquezine cremoso preto blister  <vlm>|33043000
60127|esm risque  <vlm>  sm met casaq ret bl|33043000
10178|am rose baby <num>  <vlm>  cart c <num>un|33043000
37354|creme amolecedor de cuticulas  <peso>  pote indafarma un|33043000
60034|esm risque  <vlm>  melissa nat bl|33043000
66711|esmalte pn bqnm neve|33043000
62110|esmalte ana hickmann crem  <vlm>  crem black nigh|33043000
63254|esmalte colorama verniz e cor  <vlm>  rosa sucesso loreal un|33043000
67551|esmalte style  <vlm>  <num> atrevida dote un|33043000
59111|esm juliana paes cr corajosa  <vlm>  lt jp <num>|33043000
57970|esm colorama  <vlm>  crem mauve urban|33043000
66449|esmalte penelope luz love me tender|33043000
63062|esmalte colorama maybiline veu|33043000
62260|esmalte bl bruna marq cr musgo|33043000
59366|esm na mira <num>d <num>x<num>|33043000
65883|esmalte ludurana cremoso cr <num> elite  <vlm>|33043000
112173|risque esm rend tule|33043000
64243|esmalte exotic boto rosa|33043000
67636|esmalte t  beauty natural <num> cuba  <vlm>|33043000
60494|esm t  beauty adriane galis <num> me ama|33043000
68198|esmaltes preta gil <num>free eu aceito   <vlm>  lt pg <num>|33043000
60711|esm the fusion glitter prata <num>  <vlm>  lt fs <num>|33043000
62606|esmalte cintilante sunday beauty color cx|33043000
62222|esmalte beauty color cre <num> exotica|33043000
57128|esm bcolor tango crem tango|33043000
60134|esm risque  <vlm>  sm ninfa bl cr|33043000
58743|esm glitter luz do coracao <num>x<num>|33043000
62214|esmalte beatriz <num>  <vlm>    min  <num> val  <num> <num>|33043000
58017|esm colorama  <vlm>  mist turquia imperio bl e|33043000
9765|am blu metal <num>  <vlm>  cart c <num>un|33043000
61835|esmalte <num> jam session adriane galisteu un|33043000
64190|esmalte eliana<num> sl cintilante   puro luxo|33043000
52826|es color <num> tangerine|33043000
58397|esm crem marilyn <num>x<num>|33043000
63686|esmalte cremoso disco <num>  <vlm>  garota pop impala cx|33043000
67500|esmalte sapatinho de cristal|33043000
65693|esmalte ludurana <num>em<num> alta definicao envolvente blister  <vlm>|33043000
65730|esmalte ludurana aurora boreal admiravel blister  <vlm>|33043000
62197|esmalte avulso impala cremoso preto|33043000
59813|esm preta gil glitter diamonds  <vlm>  lt pg <num>|33043000
61706|esmalte  <vlm>  <num> maximo brilho top beauty un|33043000
66389|esmalte para carimbo cremoso starvie black  <vlm>|33043000
58906|esm impala crem madonna <num>  <vlm>  <num>x<num>|33043000
7226|<num> st esmalte black jack|33043000
27159|color esm b nutr fort|33043000
57144|esm bl impala crem cinturinha <num>x<num>|33043000
58615|esm elke cint nivinha n<num>|33043000
57341|esm c show  <vlm>  nu <num> runway grey|33043000
32810|confot pes cr desod afinar pes  <peso>|33043000
61822|esmalte <num> orange classic alta moda un|33043000
66804|esmalte preta gil conhaque pra <num>  <vlm>  lt pg <num>|33043000
56814|esm barbie rg bril fabulous <num>undx <vlm>|33043000
63935|esmalte dote <num> trufa de menta|33043000
61006|esm  blant trat  int base amarga <num>  <vlm>|33043000
60306|esm risque nat gloss pop rose|33043000
72623|gel eco clear  <peso> m|33043000
64419|esmalte full color gl opcao  <vlm>|33043000
67104|esmalte risque cintilante  <vlm>  platino niasi cx|33043000
63482|esmalte cremoso <num>  <vlm>  na estrada impala un|33043000
56815|esm barbie rg bril fantastic <num>undx <vlm>|33043000
60235|esm risque cre paris|33043000
138882|top coat <num>d gel|33043000
62493|esmalte cintia mica perolado mica hits un|33043000
63977|esmalte dote desejos <num> paixao|33043000
66677|esmalte pink lavinia  <vlm>  cx<num>|33043000
61897|esmalte ah crem overview  <vlm>|33043000
113190|rv esmalte creme muse|33043000
69036|eucerin aquaporin uv  <vlm> <num>|33049990
106477|prot niv sun fps<num>  <vlm>|33049990
45962|desitin creamy assaduras  <peso>|33049990
72517|gel de limpeza facial wash awa|33049990
49773|dskin forever <num> sample  <vlm>|33049990
91814|mascara facial   city block pu|33049990
138819|tonico facial pele oleosa  <vlm>|33049990
3437|<vlm> ocao hidratante peonia    <vlm>|33049990
18783|bella unha creme  <peso> rs lote nr  <num> validade  <num> <num>|33049990
14784|base liquida eliana <num> un <num> un|33049990
86039|loc hid jej soft hid imed <num>m|33049990
71574|fotoprotecao filtro solar sc fps <num>  <peso> r|33049990
133799|tester full cover  <vlm>  <num>|33049990
132137|sunmax color sen med fps<num>  <peso>|33049990
9423|agua termal avene  <vlm>|33049990
112898|rv base clst pump comb oily skin buff t|33049990
15021|base oil free fps <num>       <vlm>   bege medio claro   l <num>|33049990
77134|improve fluido p o corpo  fps <num>   <vlm>   l <num>|33049990
77376|intimament mulher   redutor de|33049990
20444|bloq sol nivea lfee fps <peso> tbloqfac|33049990
108904|pzone peel off<num>x <peso>|33049990
88118|lrp anthelios fluide <num> <num>m|33049990
103486|photoprot fps<num> fl <num>|33049990
14423|base cremosa studio tech nw<num>|33049990
14801|base liquida hd   bronze  <vlm>|33049990
132080|sundown senses fps <num>  <vlm>|33049990
14882|base liquida soft n  <num> nude|33049990
52192|ensolei prof fluido fps<num> <num>m|33049990
68692|estojo de maquiagem ultimate beauty|33049990
90231|mamie bella oleo veg prev estrias  <vlm>|33049990
104631|po esfoliante facial  <peso>  cx<num>|33049990
13371|avene fps<num> toque seco cor  <vlm>|33049990
95867|neutrog eff mous fps<num>|33049990
22015|bronz sunless kit bloq fps<num>  <vlm> cr un<num>un|33049990
8523|actsun facial fps<num> c <vlm>|33049990
4685|<num> st creme roll on depilat|33049990
98080|oleo gel flor de aloe lote <num>|33049990
7038|<num> st lapis sombra grafite|33049990
50104|eau purete nett exp  <vlm>  test|33049990
1878|<num> em <num> esfoliante e sal para bandagem  <peso>  la vert   lote  <num>|33049990
52515|epidrat labios fps<num> <num>  <peso> r|33049990
91060|mascara   pore refining soluti|33049990
105898|probentol derma spray  <vlm>|33049990
88141|lrp anthelios xl fluidecor <num>|33049990
105828|pro longwear concealer nw<num>|33049990
14792|base liquida facial absolute lifting nude    <peso>|33049990
70679|fita adesiva para retirar cravos do nariz ricca <num>pcs|33049990
33363|corretivo bastao zanphy bege medio ref <num> c <num>   <num> prov|33049990
71557|fotoprotecao bloqueador solar fps <num> beige  <peso> r|33049990
79376|kit c b fps<num>  <vlm>  hid mon agua coc <num>cj|33049990
98399|oleo de copaiba  <vlm>|33049990
50243|eclat matissime <num>  <vlm>|33049990
13955|balsamo de lavanda lote <num>|33049990
73799|glitter folia <num> furta cor vinyx un|33049990
7033|<num> st lapis sombra azul cl|33049990
11571|anthe alt cob fps<num> cl|33049990
119681|secatriz lapis retratil secativo <num>  <peso>   l <num>|33049990
42991|dermo labial creme para os labios ciclos    <peso>|33049990
106442|prot coppert spr oilf fp<num> <num>|33049990
69672|fac pro fixador de sombra  <peso>|33049990
69084|eucerin fps <peso> el limp|33049990
96060|neutrogena ultra sheer fps <num>  <peso>|33049990
12876|asepxia maq creme bege  <peso>|33049990
37784|creme de propolis  <peso>|33049990
33603|cover block fps <num>  cor a     <peso>   l <num>|33049990
